,codmunicipio,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNICIPIO,codptore,DPTO
0,01999,6,3,5,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0
1,05001,117,140,152,121,156,181,166,138,181,168,179,192,197,206,213,223,236,223,256,272,243,medellin,05,Antioquia
2,05002,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,2,1,1,4,1,0,abejorral,05,Antioquia
3,05004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,abriaqui,05,Antioquia
4,05021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alejandria,05,Antioquia
5,05030,0,1,2,0,0,1,0,1,1,0,0,1,3,4,1,1,2,1,3,3,1,amaga,05,Antioquia
6,05031,1,2,0,1,1,0,0,0,0,0,2,1,0,2,1,0,2,4,0,0,2,amalfi,05,Antioquia
7,05034,1,1,0,1,1,6,3,2,0,2,1,2,3,3,2,2,4,2,3,3,1,andes,05,Antioquia
8,05036,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,angelopolis,05,Antioquia
9,05038,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,angostura,05,Antioquia
10,05040,0,0,0,0,0,0,1,0,2,0,0,1,2,0,1,1,0,0,0,0,0,anori,05,Antioquia
11,05042,3,1,0,0,0,0,1,0,1,3,0,0,2,3,0,1,0,2,0,3,3,santa fe de antioquia,05,Antioquia
12,05044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,anza,05,Antioquia
13,05045,1,2,2,2,4,3,2,5,1,4,5,3,3,8,5,3,8,5,2,6,8,apartado,05,Antioquia
14,05051,1,0,1,0,0,1,0,0,1,2,0,0,2,1,2,1,1,0,0,1,1,arboletes,05,Antioquia
15,05055,0,1,0,0,1,0,0,0,1,1,2,0,0,0,2,1,0,0,0,1,0,argelia,05,Antioquia
16,05059,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,armenia,05,Antioquia
17,05079,3,2,3,2,3,1,5,1,1,0,0,2,1,4,3,2,1,5,2,5,2,barbosa,05,Antioquia
18,05086,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,belmira,05,Antioquia
19,05088,19,19,18,26,16,26,19,25,31,20,16,31,20,20,28,26,32,32,28,43,38,bello,05,Antioquia
20,05091,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,betania,05,Antioquia
21,05093,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,5,betulia,05,Antioquia
22,05101,2,1,0,4,4,4,3,1,1,2,3,2,3,4,2,3,1,2,1,3,0,ciudad bolivar,05,Antioquia
23,05107,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,briceno,05,Antioquia
24,05113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,buritica,05,Antioquia
25,05120,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,caceres,05,Antioquia
26,05125,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,2,0,1,0,1,caicedo,05,Antioquia
27,05129,2,4,2,3,3,4,6,4,3,1,2,9,5,4,2,4,7,6,6,7,5,caldas,05,Antioquia
28,05134,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,campamento,05,Antioquia
29,05138,0,1,0,0,0,2,0,1,1,0,0,0,1,1,1,1,2,1,0,1,0,canasgordas,05,Antioquia
30,05142,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,caracoli,05,Antioquia
31,05145,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,caramanta,05,Antioquia
32,05147,1,1,0,0,0,0,0,1,0,0,1,1,3,1,1,3,2,4,0,2,1,carepa,05,Antioquia
33,05148,2,1,1,3,0,1,3,2,0,0,0,0,2,0,2,1,2,2,1,0,2,el carmen de viboral,05,Antioquia
34,05150,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,carolina,05,Antioquia
35,05154,1,2,2,7,3,1,1,5,2,2,2,1,0,2,2,3,3,5,3,3,4,caucasia,05,Antioquia
36,05172,3,0,1,1,0,0,0,0,0,1,2,1,1,1,4,1,0,0,0,3,2,chigorodo,05,Antioquia
37,05190,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,cisneros,05,Antioquia
38,05197,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,cocorna,05,Antioquia
39,05206,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,concepcion,05,Antioquia
40,05209,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,2,0,5,2,1,2,concordia,05,Antioquia
41,05212,3,2,5,2,3,3,4,2,3,7,4,6,5,2,4,7,4,4,5,5,7,copacabana,05,Antioquia
42,05234,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,1,0,2,1,dabeiba,05,Antioquia
43,05237,2,0,0,1,1,0,1,0,2,1,1,0,0,2,2,0,0,1,0,0,3,donmatias,05,Antioquia
44,05240,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,2,ebejico,05,Antioquia
45,05250,0,0,2,1,1,1,1,0,0,0,1,2,3,3,0,2,2,2,0,0,4,el bagre,05,Antioquia
46,05264,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,0,1,1,3,entrerrios,05,Antioquia
47,05266,12,10,11,8,9,14,19,15,13,14,15,18,19,18,25,27,17,21,15,24,28,envigado,05,Antioquia
48,05282,1,1,2,1,0,0,1,1,1,1,0,0,3,1,0,0,0,1,2,0,1,fredonia,05,Antioquia
49,05284,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,3,0,1,0,0,0,frontino,05,Antioquia
50,05306,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,giraldo,05,Antioquia
51,05308,2,3,1,2,1,3,2,1,2,3,1,0,4,4,1,3,5,2,2,5,4,girardota,05,Antioquia
52,05310,0,2,0,0,1,1,1,0,0,0,0,0,3,1,1,1,0,0,0,1,1,gomez plata,05,Antioquia
53,05313,1,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,1,0,granada,05,Antioquia
54,05315,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,guadalupe,05,Antioquia
55,05318,1,0,2,0,1,2,1,0,2,1,2,2,0,0,4,5,0,1,3,6,1,guarne,05,Antioquia
56,05321,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,guatape,05,Antioquia
57,05347,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,heliconia,05,Antioquia
58,05353,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,hispania,05,Antioquia
59,05360,12,18,8,14,10,10,18,19,15,12,10,16,21,11,16,14,17,16,23,28,25,itagui,05,Antioquia
60,05361,0,0,0,0,1,1,0,0,0,0,2,0,3,1,0,0,0,0,1,0,2,ituango,05,Antioquia
61,05364,2,0,0,1,2,0,1,2,0,0,0,1,0,1,2,0,1,4,1,0,1,jardin,05,Antioquia
62,05368,1,2,0,2,0,2,0,2,0,0,1,3,1,0,2,1,0,1,3,0,0,jerico,05,Antioquia
63,05376,1,6,0,1,0,3,1,3,3,3,7,3,2,3,5,3,1,4,4,4,7,la ceja,05,Antioquia
64,05380,4,0,3,2,2,1,4,7,3,3,1,2,2,3,3,3,4,2,6,1,6,la estrella,05,Antioquia
65,05390,0,0,0,2,0,1,0,0,1,0,2,1,0,2,0,0,0,1,1,0,0,la pintada,05,Antioquia
66,05400,0,1,0,0,0,0,1,0,0,1,1,2,1,0,0,1,0,1,1,2,2,la union,05,Antioquia
