,codmunre,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,codmunicipio,MUNICIPIO,codptore,DPTO
0,05001,117,140,152,121,156,181,166,138,181,168,179,192,197,206,213,223,236,223,256,272,243,05001,medellín,05,Antioquia
1,05002,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,2,1,1,4,1,0,05002,abejorral,05,Antioquia
2,05004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,05004,abriaquí,05,Antioquia
3,05021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05021,alejandría,05,Antioquia
4,05030,0,1,2,0,0,1,0,1,1,0,0,1,3,4,1,1,2,1,3,3,1,05030,amagá,05,Antioquia
5,05031,1,2,0,1,1,0,0,0,0,0,2,1,0,2,1,0,2,4,0,0,2,05031,amalfi,05,Antioquia
6,05034,1,1,0,1,1,6,3,2,0,2,1,2,3,3,2,2,4,2,3,3,1,05034,andes,05,Antioquia
7,05036,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,05036,angelópolis,05,Antioquia
8,05038,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,05038,angostura,05,Antioquia
9,05040,0,0,0,0,0,0,1,0,2,0,0,1,2,0,1,1,0,0,0,0,0,05040,anorí,05,Antioquia
10,05042,3,1,0,0,0,0,1,0,1,3,0,0,2,3,0,1,0,2,0,3,3,05042,santa fé de antioquia,05,Antioquia
11,05044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,05044,anzá,05,Antioquia
12,05045,1,2,2,2,4,3,2,5,1,4,5,3,3,8,5,3,8,5,2,6,8,05045,apartadó,05,Antioquia
13,05051,1,0,1,0,0,1,0,0,1,2,0,0,2,1,2,1,1,0,0,1,1,05051,arboletes,05,Antioquia
14,05055,0,1,0,0,1,0,0,0,1,1,2,0,0,0,2,1,0,0,0,1,0,05055,argelia,05,Antioquia
15,05059,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,05059,armenia,05,Antioquia
16,05079,3,2,3,2,3,1,5,1,1,0,0,2,1,4,3,2,1,5,2,5,2,05079,barbosa,05,Antioquia
17,05086,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,05086,belmira,05,Antioquia
18,05088,19,19,18,26,16,26,19,25,31,20,16,31,20,20,28,26,32,32,28,43,38,05088,bello,05,Antioquia
