,DPMP,mort_1998,mort_1999,mort_2000,mort_2001,mort_2002,mort_2003,mort_2004,mort_2005,mort_2006,mort_2007,mort_2008,mort_2009,mort_2010,mort_2011,mort_2012,mort_2013,mort_2014,mort_2015,mort_2016,mort_2017,mort_2018,TAE_1998,TAE_1999,TAE_2000,TAE_2001,TAE_2002,TAE_2003,TAE_2004,TAE_2005,TAE_2006,TAE_2007,TAE_2008,TAE_2009,TAE_2010,TAE_2011,TAE_2012,TAE_2013,TAE_2014,TAE_2015,TAE_2016,TAE_2017,TAE_2018,MPIO
0,05001,117.0,140.0,152.0,121.0,156.0,181.0,166.0,138.0,181.0,168.0,179.0,192.0,197.0,206.0,213.0,223.0,236.0,223.0,256.0,272.0,243.0,14.00468820288548,16.09783721142515,16.623772535746912,12.775929879869452,16.271970188567543,18.08438005136897,15.870330418480096,12.652926953112864,15.873948196602267,14.224095011262106,14.743136508130666,14.991971985067542,15.11367463080624,15.304540031143745,15.472662259482837,15.775364949666002,15.975834679919874,14.570198287908605,16.403327805604608,16.93591825406404,14.17654072850973,Medellín
1,05002,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841269841269842,14.683982683982684,0.0,0.0,9.579288025889968,0.0,8.551724137931036,0.0,0.0,18.04836615055376,7.322834645669292,9.263803680981596,28.78694274345869,7.106109324758843,0.0,Abejorral
2,05004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.08529741863077,69.0625,0.0,82.22222222222223,0.0,Abriaquí
3,05021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.92857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alejandría
4,05030,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0,11.343283582089553,20.09999467582425,0.0,0.0,11.254752851711025,0.0,6.595940959409594,10.685920577617328,0.0,0.0,6.72090112640801,19.42476106802733,24.301650964540425,5.994729907773387,6.757990867579909,13.48140010606864,5.118110236220473,18.817483150316733,17.07939245473016,4.846570397111914,Amagá
5,05031,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,15.2,33.44877344877345,0.0,16.629213483146067,0.0,0.0,0.0,0.0,0.0,0.0,23.820848026146038,11.016949152542372,0.0,16.77777777777778,8.740053050397877,0.0,15.16949152542373,34.39813251685447,0.0,0.0,16.254112455793127,Amalfi
6,05034,1.0,1.0,0.0,1.0,1.0,6.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,4.703783012134189,7.210776545166404,0.0,6.225490196078431,6.09103078982597,37.94724555881734,13.792115797445579,9.997071279784919,0.0,11.602525851146442,6.05577689243028,9.438016528925619,15.378022015463678,15.335061280170478,8.786448035957381,8.347050563103906,16.940944641526496,8.808691208410139,13.245290699721913,12.192573163800152,3.7972508591065286,Andes
7,05036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.01092896174864,0.0,0.0,0.0,Angelópolis
8,05038,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.46666666666667,60.81007474554707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.20797720797721,0.0,0.0,0.0,0.0,Angostura
9,05040,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.532520325203254,0.0,46.95428028761362,0.0,0.0,22.424242424242426,40.70773263433814,0.0,23.333333333333336,14.388646288209607,0.0,0.0,0.0,0.0,0.0,Anorí
10,05042,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,37.8609167499643,10.625,0.0,0.0,0.0,0.0,11.206896551724137,0.0,9.440476190476192,30.821607549625774,0.0,0.0,16.87150837988827,25.13240948509661,0.0,8.629737609329446,0.0,15.533503344790628,0.0,18.43272281950449,20.194353896303586,Santa fé de antioquia
11,05044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.04166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,Anzá
12,05045,1.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,1.0,4.0,5.0,3.0,3.0,8.0,5.0,3.0,8.0,5.0,2.0,6.0,8.0,9.25,9.246235758636415,9.162127296744465,3.443557582668187,13.494886365951198,12.909743913416126,6.7557057465018335,19.748321258152977,5.352112676056338,10.954418976380513,15.526825371978546,8.432860168499037,6.978955460721782,25.72487431212545,13.763149034718293,7.7420998583315,16.40262029697917,11.210720529018147,4.045036740455397,12.369934803310802,17.140609687047206,Apartadó
13,05051,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,8.591916558018253,0.0,12.121896162528214,0.0,0.0,8.352344740177438,0.0,0.0,10.075046904315197,23.52765058119056,0.0,0.0,18.131786514852614,9.045725646123259,16.248108925869893,7.14792899408284,7.080890973036341,0.0,0.0,7.276422764227642,7.514253135689852,Arboletes
14,05055,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31.57142857142857,0.0,0.0,34.128440366972484,0.0,0.0,0.0,29.76,35.66265060240964,57.94721407624633,0.0,0.0,0.0,49.6064082278481,35.0,0.0,0.0,0.0,19.242424242424246,0.0,Argelia
